[nps1] attn_out 0x723134e00000  flags 0x723134f11000 / 0x723134f11000  weight 0x723134400000 (6.11 MiB)
[nps1] aid=0 coherent=0 split=0 hier_split=0
[nps1] 184 tiles (23/XCD), 256 threads, 400 layers, delay=0 skew=0, 736 polling waves
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.72 rmsnorm_router=1.40 topk=0.36 total=7.84
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.72 rmsnorm_router=1.52 topk=1.96 total=9.56
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.68 rmsnorm_router=1.48 topk=0.72 total=8.24
[OPROJ_INNER] slicewait=0.36 mfma=3.96 bar=1.80 rmsnorm_router=1.48 topk=0.36 total=7.96
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.92 rmsnorm_router=1.60 topk=3.36 total=11.24
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=2.08 rmsnorm_router=1.44 topk=3.76 total=11.64
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=2.04 rmsnorm_router=1.56 topk=2.48 total=10.40
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.72 rmsnorm_router=1.52 topk=1.64 total=9.28
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.96 rmsnorm_router=1.60 topk=2.64 total=10.56
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.80 rmsnorm_router=1.56 topk=1.88 total=9.64
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.72 rmsnorm_router=1.48 topk=0.92 total=8.44
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.84 rmsnorm_router=1.60 topk=3.56 total=11.32
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.64 rmsnorm_router=1.44 topk=0.40 total=7.84
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.88 rmsnorm_router=1.44 topk=3.16 total=10.84
[OPROJ_INNER] slicewait=0.40 mfma=4.04 bar=1.76 rmsnorm_router=1.60 topk=3.36 total=11.16
[OPROJ_INNER] slicewait=0.44 mfma=3.96 bar=1.56 rmsnorm_router=1.52 topk=1.20 total=8.68
[OPROJ_INNER] slicewait=0.36 mfma=3.92 bar=1.76 rmsnorm_router=1.48 topk=1.96 total=9.48
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.88 rmsnorm_router=1.56 topk=2.28 total=10.08
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.60 rmsnorm_router=1.48 topk=1.20 total=8.68
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.72 rmsnorm_router=1.56 topk=1.64 total=9.24
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.68 rmsnorm_router=1.52 topk=1.00 total=8.56
[OPROJ_INNER] slicewait=0.44 mfma=3.92 bar=1.96 rmsnorm_router=1.44 topk=3.20 total=10.96
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.88 rmsnorm_router=1.64 topk=3.20 total=11.08
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.80 rmsnorm_router=1.56 topk=2.28 total=10.04
[OPROJ_INNER] slicewait=0.40 mfma=4.04 bar=1.80 rmsnorm_router=1.60 topk=3.12 total=10.96
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.72 rmsnorm_router=1.44 topk=0.40 total=7.92
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.64 rmsnorm_router=1.56 topk=1.76 total=9.36
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.88 rmsnorm_router=1.48 topk=3.88 total=11.64
[OPROJ_INNER] slicewait=0.40 mfma=3.88 bar=1.96 rmsnorm_router=1.56 topk=2.52 total=10.32
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.76 rmsnorm_router=1.52 topk=2.32 total=10.00
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.96 rmsnorm_router=1.60 topk=3.60 total=11.52
[OPROJ_INNER] slicewait=0.36 mfma=3.92 bar=1.72 rmsnorm_router=1.44 topk=0.40 total=7.84
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.72 rmsnorm_router=1.52 topk=1.80 total=9.40
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.84 rmsnorm_router=1.52 topk=1.76 total=9.44
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.72 rmsnorm_router=1.48 topk=0.88 total=8.40
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=2.08 rmsnorm_router=1.40 topk=4.08 total=11.96
[OPROJ_INNER] slicewait=0.36 mfma=3.96 bar=2.04 rmsnorm_router=1.60 topk=3.16 total=11.12
[OPROJ_INNER] slicewait=0.44 mfma=3.96 bar=2.04 rmsnorm_router=1.60 topk=3.80 total=11.84
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.96 rmsnorm_router=1.44 topk=0.76 total=8.52
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.72 rmsnorm_router=1.48 topk=0.36 total=7.96
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.88 rmsnorm_router=1.52 topk=1.64 total=9.36
[OPROJ_INNER] slicewait=0.44 mfma=3.96 bar=2.00 rmsnorm_router=1.56 topk=2.52 total=10.48
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.92 rmsnorm_router=1.56 topk=1.92 total=9.76
[OPROJ_INNER] slicewait=0.44 mfma=3.92 bar=1.84 rmsnorm_router=1.56 topk=2.04 total=9.80
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.80 rmsnorm_router=1.56 topk=3.72 total=11.44
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.84 rmsnorm_router=1.56 topk=3.40 total=11.20
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.64 rmsnorm_router=1.48 topk=0.48 total=7.96
